Title,Year,Type,Price,Engine type,Gearbox_type,Milage,City,Engine,Power
Opel Astra,2011,Hečbekas,4500,Benzinas,Mechaninė,121000,Kaišiadorys,1600,85
Opel Astra,2004,Hečbekas,500,Dyzelinas,Mechaninė,325000,Vilnius,1700,74
Opel Astra,2009,Hečbekas,999,Dyzelinas,Mechaninė,340000,Vilnius,1700,74
Opel Astra,2005,Hečbekas,1000,Benzinas,Mechaninė,260000,Kaunas,1600,77
Opel Astra,2003,Sedanas,1100,Dyzelinas,Mechaninė,254545,Vilnius,1700,55
Opel Astra,2007,Hečbekas,1249,Dyzelinas,Mechaninė,380000,Kaunas,1900,74
Opel Astra,2001,Kabrioletas,1450,Benzinas,Mechaninė,267000,Vilnius,1800,92
Opel Astra,2007,Hečbekas,1499,Benzinas,Mechaninė,290000,Kaunas,1600,85
Opel Astra,2005,Hečbekas,2150,Benzinas,Automatinė,223000,Kretinga,1600,77
Opel Astra,2010,Universalas,2150,Dyzelinas,Mechaninė,220000,Jurbarkas,1900,110
Opel Astra,2009,Universalas,2250,Dyzelinas,Mechaninė,291000,Ukmergė,1300,66
Opel Astra,2005,Hečbekas,2250,Benzinas,Automatinė,217000,Klaipėda,1600,77
Opel Astra,2005,Hečbekas,2350,Benzinas,Mechaninė,177460,Šiauliai,1600,85
Opel Astra,2007,Hečbekas,2450,Dyzelinas,Mechaninė,238000,Kaunas,1700,92
Opel Astra,2004,Hečbekas,2450,Benzinas,Automatinė,250000,Vilnius,1800,92
Opel Astra,2004,Hečbekas,2499,Benzinas,Automatinė,139976,Kretinga,1600,77
Opel Astra,2010,Hečbekas,2750,Benzinas,Mechaninė,110000,Kaunas,1600,85
Opel Astra,2006,Hečbekas,2799,Dyzelinas,Mechaninė,190000,Kretinga,1300,66
Opel Astra,2009,Hečbekas,2800,Dyzelinas,Mechaninė,218585,Kėdainiai,1700,81
Opel Astra,2007,Kabrioletas,2800,Benzinas,Mechaninė,196000,Marijampolė,1800,103
Opel Astra,2011,Universalas,3000,Dyzelinas,Mechaninė,309960,Vilnius,1700,92
Opel Astra,2010,Hečbekas,3000,Benzinas,Mechaninė,160000,Kaunas,1400,103
Opel Astra,2010,Hečbekas,3200,Dyzelinas,Mechaninė,245000,Šiauliai,1700,92
Opel Astra,2010,Hečbekas,3330,Benzinas,Mechaninė,180000,Marijampolė,1600,85
Opel Astra,2011,Universalas,3490,Dyzelinas,Mechaninė,255000,Kaunas,1700,81
